Rèf 10max;Libelle Univers;Monde;Libelle;Descriptif
010803;Jeux Videos;Tekken;King;"Le King prend sa revanche
Le Tekken King est un personnage apparaissant dans le troisième opus du jeu vidéo de combat Tekken. Le Tekken King est un catcheur qui fût élevé dans le même orphelinat que le Armor King du premier épisode et il s'inscrit au tournoi pour venger son ami. Lutteur au grand coeur, il s'inscrit aussi dans le but de gagner de l'argent afin de faire l'orphelinat dont il vient.

Le deuxième jaguar
Comme son prédécesseur, le Tekken King se bat avec un masque de jaguar (d'une couleur normale cette fois). Le personnage est donc représenté avec une tête de jaguar présentant ses dents. Au niveau du corps, il est représenté torse nu avec un collant violet et des bottes jaunes. Il porte aussi des gants assortis et est dans une attitude de combat."
010901;Jeux Videos;The Witcher;Ciri;"Un destin compliqué
Ciri, de son vrai nom Cirilla, est un personnage important de l'univers du jeu vidéo The Witcher, l'adaptation en jeu de rôle de la fameuse saga littéraire médiévale fantastique d'Andrzej Sapkowski. Ciri est la princesse de Cintra et petite fille de la reine Calanthe. Elle croisa la première fois le chemin de Geralt De Riv, le héros du jeu lorsqu'elle était encore dans le ventre de sa mère et que celui sauva son père d'une malédiction. Plus tard, elle le recroise alors qu'elle s'est réfugiée chez une famille de marchands lors de l'attaque de Cintra. Geralt l'emmène alors avec lui pour l'entrainer à devenir une sorcelleuse et c'est là qu'elle découvre qu'elle est une source, une personne ayant des capacités magiques naturelles.

La femme aux cheveux blancs
Comme dans le jeu vidéo, Ciri porte des vêtements rappelant un peu le style des mousquetaires. On retrouve ce pantalon marron avec de hautes bottes beiges à talons. Avec cela, elle porte un chemisier blanc maintenu par une large ceinture aux ornementations très finement reproduites par Funko. Dans une de ses mains gantées, elle tient son épée et l'autre est en avant comme si elle s'apprêtait à utiliser la magie. Au niveau de la tête, on retrouve la cicatrice sur son visage ainsi que ses fameux cheveux blancs."
010902;Jeux Videos;The Witcher;Eredin;"Un elfe ambitieux
Eredin est un personnage puissant et mystérieux apparaissant dans le jeu The Witcher 3, un jeu vidéo de type action/jeu de rôle se déroulant dans un univers médiéval fantastique. C'est un elfe qui décida avec son Avallac'h de tuer leur roi Auberon, reclus de son peuple depuis plusieurs années. Il croisa plus tard le chemin de Ciri, personnage important et amie de Geralt De Riv, personnage principal du jeu. Il la fit prisonnière pendant un temps jusqu'à son évasion. Il parvint à la rattraper dans un étrange forêt après l'avoir poursuivie à travers l'espace et le temps. Il la hante depuis comme un fantôme.

Un physique qui n'est pas sans rappeler Sauron
Avec son impressionnante armure et surtout son casque à pics argenté, Eredin n'est pas sans rappeler le fameux Sauron du Seigneur Des Anneaux quand celui-ci avait encore une forme physique. On retrouve bien ses vêtements rouges sous son impressionnante armure métallique aux détails très soignés comme ce motif de cage thoracique qui insiste sur le côté squelettique de son casque. En effet, au lieu d'un élément en relief au niveau du nez, on retrouve un élément aplati ressemblant très fortement à celui d'un crane humain."
010903;Jeux Videos;The Witcher;Triss;"Guérisseuse et magicienne
Triss Merigold est l'un des personnages principaux du jeu vidéo The Witcher, un jeu de type jeu de rôle se déroulant dans un univers fantastique médiévale. On y suit les aventures de Geralt De Riv, un sorcelleur, un chasseur de démons génétiquement modifié pour lui donner des capacités surnaturelles et travaillant sur contrat. Triss est la première personne à lui avoir parlé après son retour de Kaer Morhen et à son tour, il concoctera un elixir pour la soigner quand elle est gravement blessée. Triss tombera amoureuse de lui après ça mais ses sentiments ne seront pas réciproques. Triss est une excellente magicienne ainsi qu'une bonn guérisseuse bien qu'elle ne serve que rarement de potions étant qu'elle y est allergique.

Triss et ses fameux cheveux roux
Comme les autres personnages du jeu, Triss arbore une tenue s'inspirant vaguement de l'univers médiéval avec une touche rappelant le style du 18ème siècle ainsi que des éléments originaux. Elle porte un pantalon noir avec des bottes marrons à revers rouges. Sa tunique est particulièrement colorée avec son son bustier jaune et ses manches rouges et bleus. Elle porte une ceinture assortie aux détails joliment représentés. Dans sa main, elle tient une flamme orange en plastique légèrement transparent. Enfin au niveau de la tête, on retrouve bien ses joues roses ainsi que les taches de rousseur sur son visage. Enfin, Funko a bien évidemment représenté les fameux cheveux roux qui la caractérisent."
011001;Series;Breaking Bad;Gus;"Gus, le grand patron
Gustavo Fring est un personnage important de la série Breaking Bad. En effet, lorsque Walter White, professeur de chimie souffrant d'un cancer en phase terminale, se lance dans la production de méthamphétamine, il va devoir traiter avec Gustavo, grand patron du marché de la région. Appréciant la minutie de Walter, il va très vite lui confier une grande partie de sa production. Il a beaucoup de couvertures, notamment la chaîne de restaurants ""los pollos hermanos""

Un patron à l'allure respectable
Gustavo est un homme élégant à l'allure respectable. Il est ici représenté avec son fameux costume bleu, entrain de réajuster sa cravate avec sa main droite. Funko n'a bien sûr pas oublié de représenter sa peau brune et comme Walter, il porte de petites lunettes qui lui donnent un côté professeur.
"
011002;Series;Breaking Bad;Heisenberg;"La deuxième identité de Walter White
Heisenberg est le pseudonyme utilisé par Walter White, le personnage principale de la série ""Breaking Bad"", pour produire et vendre de la méthamphétamine. Professeur de chimie au lycée, il apprend un jour qu'il a un cancer en phase terminale. Avec l'aide de son ancien élève, Jesse Pinkman, il va donc se lancer dans le trafic pour offrir un meilleur avenir financier à sa famille. Pour ça il va adopter une deuxième identité : Heisenberg.

Heisenberg, le gangster au chapeau
Walter White est donc ici représenté avec le look qu'il adopte lorsqu'il prend l'identité de Heisenberg et traite avec d'autres personnes du milieu de la drogue. On retrouve donc ce look plus ""gangster"" avec un pantalon beige, une chemise grise et son fameux blouson en cuir, mais surtout son fameux chapeau et ses grosses lunettes noires. Mais sans quitter ses mocassins ! Il porte un pistolet dans une main et dans l'autre un sachet de méthamphétamine."
011003;Series;Breaking Bad;Walter;"Le professeur de chimie à moustache
Walter White est le personnage principal de la série culte de Vince Gilligan, Breaking Bad. Walter est un tranquille professeur de chimie de lycée au Nouveau-Mexique. Lorsqu'il apprend qu'il souffre d'un cancer en phase terminale, Il décide, avec l'aide de Jesse Pinkman, l'un de ses anciens élèves, de se lancer dans la fabrication de méthamphétamine. Ils installent alors leur ""laboratoire"" dans un vieux camping car dans le désert.

Des débuts pas faciles
Sur cette figurine, Walter est représenté lors de cette fameuse scène de la saison 1 où il sort de son camping car à moitié habillé, un pistolet à la main. On retrouve donc cette fameuse chemise turquoise à moitié rentrée dans son slip et ses mocassins marrons. Il tient donc son pistolet à la main et, au niveau du visage, il arbore encore ses lunettes et sa moustache de gentil professeur de chimie."
011101;Series;Games Of Thrones;Brienne;"Une guerrière sans pareil
Brienne Of Tarth est un personnage important de la série Game Of Thrones inspirée de la fameuse série de romans A Song Of Ice And Fire de George Martin, encore en cours d’écriture. Brienne apparait en cours de saison deux et bien que restant un personnage secondaire, elle prend de l’importance au fur et à mesure des saisons. Après la mort de Robert Baratheon puis la prise de pouvoir très contestée de Cersei et Joffrey ainsi que la mort de Ned Stark, le royaume est déchiré et plusieurs seigneurs entrent alors en guerre chacun voulant le trône pour lui-même. Brienne s’est déclaré pour Renly Baratheon, l’un des seuls hommes à s’être jamais montré gentil avec elle durant son adolescence malgré son physique disgracieux et considéré comme masculin. Elle est même choisie pour faire partie de sa garde personnelle après sa victoire lors d’un tournoi. Mais quand Renly est assassiné par une ombre envoyée par son frère Stannis, elle est accusée et Catelyn Stark, présente à ce moment, prend sa défense et lui propose de servir alors sa famille. A partir de ce moment, sa loyauté sera sans faille et elle fera tout pour respecter le serment qu’elle a fait à Catelyn de ramener ses filles saines et sauves chez elles à Winterfell.

Brienne après le combat
Cette figurine est une version exclusive Hot Topic de la première figurine du personnage déjà sortie quelques temps auparavant. Brienne porte toujours cette armure dorée particulièrement luxueuse montrant qu’elle vient d’une famille particulièrement aisée. Les détails de celle-ci sont particulièrement bien représentés sur cette figurine qui dépasse d’un demi-centimètre presque toutes les autres figurines de la collection. On peut voir qu’elle porte en dessous une tunique de plaques ainsi que d’épais gants noirs. Au niveau de la tête, son visage est tout simple mais on reconnait bien ses courts cheveux blonds caractéristiques. Enfin, comme sur son autre figurine, elle tient son épée dans la main droite, mais celle-ci est ici recouverte partiellement de taches de sang, ce qui montre qu’elle vient apparemment de combattre."
011102;Series;Games Of Thrones;Khalessi;"Les débuts d’une reine
Khal Drogo est l’un des personnages importants de la saison 1 de la série Game Of Thrones et Khaleesi, de son vrai nom Daenerys Targaryen en est l’un des personnages principaux. Au début de la série, Daenerys, l’une des dernières héritières des Targaryen, la famille ayant reigné sur Westeros pendant des siècles, est exilé avec son frère en Essos. celui-ci tente de regrouper une armée afin de reprendre le trône qui lui revient théoriquement de droit. Il marie alors Daenerys à un seigneur de guerre Dothraki contre l’aide de son armée. Mais contre toute attente Daenerys et Khal Drogo tombent amoureux et Viserys est exécuté après leur avoir manqué de respect à tous les deux. Khal Drogo va alors promettre à Daenerys de l’aider à retrouver son trône. Malheureusement il meurt suite à une grave blessure. Daenerys place les oeufs de dragon qui lui avaient été offert pour son mariage sur le bûcher funéraire de son mari et ceux-ci finissent par éclore alors que l’on pensait l’espèce disparu depuis toujours. Rhaegal est l’un de ces dragons, nommé ainsi en l’honneur du frère qu’elle n’a pas connu.

Un étrange pack
Ce pack propose donc trois figurines : une de Daenerys avec Rhaegal, une de Khal Drogo et une autre de Rhaegal adulte. Ce qui est un peu étrange puisqu’on représente donc deux fois le même dragon et que Khal Drogo ne devrait pas se trouver en la présence des dragons puisque ceux-ci naissent justement sur son bucher funéraire. La figurine de Khal Drogo est donc quasi identique à celle de lui déjà sortie seule. Il est représenté avec sa tenue de cuir marron Dothraki, torse nu avec ses tatouages bleus sur le torse. Au niveau de la tête, on retrouve bien sa barbe et ses longs cheveux noirs. Dans sa main droite, il tient son couteau recourbé Dothraki mais ce qui le différencie de l’autre figurine, ce sont les taches de sang sur l’arme et ses vêtements. Pour Daenerys, c’est aussi quasiment la même que la première figurine du personnage. Elle porte sa tenue de marche Dothraki avec des bottes, un pagne et un haut court découvrant son ventre pour résister à la chaleur du désert. On reconnait bien ses longs cheveux blonds nattés et le petit dragon vert sur son bras, contrairement à la figurine de base qui représente un mélange entre Drogon et Rhaegal. Son visage est aussi représenté sale, comme c’est le cas durant toute la partie de la saison deux où elle erre dans le désert. Enfin, on retrouve la figurine de Rhaegal à taille adulte et celle-ci est exactement la même que celle sortie seule."
011103;Series;Games Of Thrones;Snow;"Un bâtard devenu roi
Bien que ce ne soit pas forcément évident au tout début de la série, Jon Snow est l’un des personnages les plus importants, si ce n’est le plus important, de la série Game Of Thrones inspirée des fameux romans de George Martin. Il est officiellement le fils bâtard de Ned Stark, seigneur du Nord et de Winterfell. Sachant qu’il n’aura que peu d’occasions de se marier et de servir sa famille d’une façon ou d’une autre, il décide au début de la série de rejoindre la garde de nuit, comme son oncle Benjen. Cet ordre a promis de garder le royaume de tous les dangers qui rodent au-delà du mur de glace géant construit un peu au Nord de Winterfell. La garde étant plus souvent composée de criminels ayant choisi le mur plutôt qu’une exécution, ce jeune homme instruit et entrainé au combat se démarque immédiatement des autres. Mais lors de son premier périple sur la banquise au delà du mur, Jon va vite se rendre compte que le vrai danger ne vient pas des hommes libres y vivant mais de créatures bien plus dangereuses que tout le monde prenait depuis longtemps pour des légendes.

Jon Snow sous la neige
Cette figurine est une version exclusive « beyond the wall » de la première figurine sortie pour ce personnage. On peut le voir porter sa tenue de la garde de nuit : un pantalon et une tunique gris foncé ainsi que des bottes noires modestes. Par dessus, il porte ce fameux manteau de laine doublé de fourrure au col et maintenu autour de ses épaules par deux lanières en travers du torse. Avec cela, il porte bien sûr des gants noirs et l’épée offert à lui par Jeor Mormont, chef de la garde, après qu’il lui ait sauvé la vie. Sur son visage, on reconnait bien sa légère barbe ainsi que son bouc mais encore une fois, ses fameuses boucles noires sont un peu ratées sur cette figurine. Enfin, ce qui différencie cette figurine de la première, c’est la neige d’un joli blanc pailleté sur ses gants, bottes, épaules et le dessus de sa tête."
011201;Series;Lost;Jacob;"Le gardien de l'ile
Jacob est un personnage important de Lost apparaissant à la fin de la saison 5 et que l'on retrouve tout au long de la saison six. Dans cette série on suit les aventures d'un groupe de rescapés sur une ile déserte après le crash de leur avion au milieu du Pacifique. Jacob est le mystérieux leader des ""autres"", les habitants pas très accueillants de l'île et il en est considéré comme le gardien. Ce serait son conflit avec son frère le ""Man In Black"" qui provoqua le crash de l'avion au début de la série et il aurait aussi des pouvoirs surnaturelles.

Le sauveur
Dans la série, le personnage est considéré comme un guide aux pouvoirs surnaturelles de guérison et d'immortalité qui semble le rapprocher de Jésus et cela se retrouve bien dans son apparence. Comme on peut le voir, il porte un pantalon gris et une tunique blanche antique et il est toujours pied nu. Au niveau de la tête, on retrouve ses cheveux blond/roux assez courts ainsi que son léger bouc assorti et enfin, il tient une fiole de vin rouge la tête à l'envers dans sa main droite."
011202;Series;Lost;John;"Un personnage mystique
John Locke est un peu le guide spirituel du groupe et l'un des personnages principaux de la série Lost. Dans cette série, on suit les aventures du groupe de rescapés d'un crash d'avion ayant tous échoués sur une étrange ile déserte. Quand il a embarqué dans l'avion, John Locke avait perdu l'usage de toute la partie basse de son corps et était en fauteuil roulant. Quand il ressort vivant du crash, il a aussi retrouvé l'usage de ses jambes. C'est entre autres pour cela qu'il est persuadé que toutes les étranges choses qui arrivent sur l'ile ont une explication mystique et il va parvenir à convaincre de nombreux autres rescapés. Mais John Locke est aussi un excellent traqueur et chasseur, ce qui le rendra bien sûr très utile au groupe.

Un personnage inoubliable
John Locke est ici représenté avec tout l'attirail qui lui permet de chasser dans l'épaisse forêt de cette île pas si déserte. Il porte donc un pantalon beige avec des chaussures marrons ainsi qu'un t-shirt orange. En plus de ça, il porte son gilet vert de chasseur agrémenté de nombreux accessoires et il tient son couteau dans sa main droite. Au niveau de la tête, on retrouve bien son crane chauve ainsi que son léger bouc et surtout les cicatrices autour de son oeil droit."
011203;Series;Lost;Man In Black;"Le méchant principal de la série
Le Man In Black est un personnage important de la série Lost mais n'apparaissant sous sa vrai forme qu'à la fin de la saison cinq. Dans cette série, on suit les aventures d'un groupe de rescapés sur une ile déserte après le crash de leur avion. Ils vont très vite se rendre compte que de nombreux évènements mystérieux se déroulent sur cette ile. Ils sont régulièrement attaqués par ce qu'ils appellent le ""smoke monster"" et ce n'est donc qu'à la fin de la saison 5 qu'il apparut sous sa vraie forme. C'est un résident de l'ile depuis le premier siècle quand sa mère y échoua et donna naissance à lui et son frère jumeau avant d'être assassinée par une femme qui recueillit les deux enfants.

Un étrange méchant
Comme dans la série, le personnage du Man In Black porte sa tenue de romain. On retrouve donc son pantalon gris ainsi que sa tunique noire retenue à la taille par une ceinture de corde. Avec cela, il porte des sandales typiquement romaines noires. Au niveau de la tête, on retrouve ses cheveux gris dégarnis sur les côtés ainsi que que son bouc lui aussi gris trahissant son âge."
